s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
387,5.06E+12,Sea salt & cider vinegar chips,Tyrrell’s,467,2.5,51,0.049019608
388,6.11E+12,Nescafe classic,Nescafé,10,0.5,0.5,1
389,3.23E+12,Muesli avoine chocolat bio,Bjorg,390,8.7,59,0.147457627
390,6.11E+12,,Délicia,250,61.33,61.33,1
391,87157277,Tomaten Ketchup,"Heinz, Fach 3",102,22.8,23.2,0.982758621
392,5.29E+12,,null,467,5,62,0.080645161
393,8.41E+12,Sandwich Zero Sin Azúcares Añadidos,Gullón,422,5,67,0.074626866
394,8.41E+12,Cacao puro desgrasado en polvo,"Chocolates Valor,S.A.",375,0.7,16.3,0.042944785
395,6.41E+12,Finn Crisp - Original,Finn Crisp,350,1.6,61,0.026229508
396,7.62E+12,Príncipe crema de chocolate,LU,469,32,71,0.450704225
397,5.04E+12,Greek Style Yoghurt,Yeo Valley,115,4.9,4.9,1
398,10001295,meat feast pizza,co op,485,17,65,0.261538462
399,8.41E+12,6 Wraps blé complet,Old El Paso,171,1.3,27.9,0.046594982
400,5.41E+12,"Fermentiertes Sojaprodukt, Ungesüßt",Alpro,42,0,0,0
401,3.03E+12,NESQUIK Cacao,"Nestlé, Nesquik",386,75.1,78.9,0.951837769
402,3.16E+12,Caprice des dieux,caprice des dieux,333,0.1,0.8,0.125
403,3.27E+12,Le Goût Primeur format familial,"Savencia, St Moret",205,3,3,1
404,5.05E+12,Sour Cream & Onion,Pringles,525,2.7,56,0.048214286
405,7.62E+12,napolitain,"LU, Mondelez, Napolitain",129,9.6,17,0.564705882
406,4.06E+12,Shot de gingembre bio,Solevita,39,7.6,7.9,0.962025316
407,5.00E+12,Malt Wheats,Tesco,145,4,32.8,0.12195122
408,5.06E+12,PROPERCHIPS Sea Salt Lentil Chips,Proper,482,1,61,0.016393443
409,6.11E+12,Double concentre de tomate,Aicha,117,9,23.7,0.379746835
410,3.23E+12,PRESIDENT CAMEMBERT 250g,"Lactalis, Président",269,0,0,0
411,5.01E+12,Muesli,Alpen,370,18,65,0.276923077
412,5.01E+12,Crispy minis,Weetabix,154,6.8,28,0.242857143
413,6.11E+12,Asta,"Asta,Café",8,2.7,3,0.9
414,3.18E+12,Grilletine au froment sans sucres ajoutés,brioche pasquier,425,1.7,68,0.025
415,8.45E+12,Nesquik,"Nestlé,Nesquik",386,75.1,78.9,0.951837769
416,5.01E+12,Seeded Batch,Warburtons,293,2.6,39.7,0.065491184
417,5.00E+12,Semi-Skimmed 1.8% Fat Milk,Tesco,50,4.8,4.8,1
418,6.92E+12,Petits fours financiers,,452,31.6,52,0.607692308
419,3.18E+12,Biscuits pavot citron,Gerblé,454,16,66,0.242424242
420,5.05E+12,Pringles Original,Pringles,534,1.4,56,0.025
421,5.01E+12,The Original Crunchy Rye Breads,Ryvita,37,0.3,7.2,0.041666667
422,5.06E+12,Kefir,Biotiful,58,3.7,4.4,0.840909091
423,5.06E+12,Blueberry Muffin Myrtilles,Nakd,130.9,17.01,19.985,0.851138354
